net,length_um
_064_,134.22µm
_066_,115.82µm
net13,83.96µm
_049_,76.86µm
net8,75.04µm
_041_,71.34µm
_039_,64.9µm
_071_,64.88µm
_070_,62.58µm
net86,61.92µm
_059_,59.9µm
_002_,59.56µm
_017_,57.97µm
_056_,57µm
_005_,56.1µm
net67,53.92µm
_030_,52.055µm
_057_,51.44µm
_110_,51.34µm
_046_,51.16µm
net69,49.38µm
net82,47.98µm
_137_,47.94µm
_053_,47.46µm
_054_,46.58µm
net74,46.22µm
_144_,45.7µm
_134_,44.6µm
net14,42.82µm
net26,42.44µm
_087_,41.66µm
net11,41.58µm
net66,41.58µm
_127_,40.74µm
_120_,40.18µm
net48,40.08µm
_051_,39.48µm
_084_,39.4µm
net50,38.36µm
net27,38.14µm
_159_,38.02µm
_078_,36.66µm
net37,36.4µm
net35,36.16µm
_034_,35.84µm
net29,35.58µm
_124_,35.44µm
net92,34.8µm
net68,33.58µm
_060_,33.36µm
_035_,33.18µm
net43,33.18µm
net3,33.12µm
_006_,32.92µm
net59,31.86µm
net5,31.58µm
_108_,31.54µm
_095_,31.48µm
_113_,31.24µm
_090_,30.92µm
net73,30.1µm
net83,30.08µm
_000_,29.8µm
net4,29.48µm
net58,29.3µm
net61,28.66µm
_020_,28.56µm
_013_,28.44µm
net10,28.44µm
net75,28.22µm
net45,27.62µm
net40,27.18µm
_024_,27.16µm
net78,26.44µm
net72,26.42µm
_136_,26.02µm
_062_,25.76µm
net31,25.62µm
net63,25.38µm
_068_,25.36µm
net95,25.06µm
_086_,24.84µm
net46,24.36µm
net77,24.26µm
_072_,24.22µm
_088_,23.96µm
net32,23.62µm
_098_,23.38µm
net42,22.76µm
_077_,22.08µm
_122_,21.74µm
_038_,21.7µm
_075_,21.7µm
net56,21.58µm
net36,21.4µm
_025_,21.28µm
net64,21.14µm
_107_,21.12µm
net9,21.08µm
net1,20.82µm
_157_,20.78µm
_106_,20.38µm
_042_,19.36µm
net6,18.98µm
_021_,18.96µm
net96,18.94µm
_123_,18.06µm
net38,18.04µm
_022_,17.96µm
net39,17.9µm
_162_,17.745µm
_069_,17.66µm
_154_,17.58µm
_055_,17.5µm
net70,17.34µm
net80,17.18µm
_027_,17.06µm
_102_,17µm
_161_,16.58µm
net41,16.26µm
_029_,16.22µm
_103_,16.205µm
_012_,16.14µm
_099_,15.44µm
_003_,15.36µm
net60,15.26µm
net17,14.82µm
_043_,14.44µm
_076_,14.02µm
_100_,14µm
net33,14µm
net7,13.5µm
_009_,13.42µm
net81,13.3µm
net71,13.24µm
net34,13.16µm
net91,13.04µm
_004_,13.02µm
_026_,12.64µm
_040_,12.54µm
_155_,12.54µm
_112_,12.44µm
_116_,12.22µm
_126_,11.92µm
_129_,11.84µm
net79,11.38µm
_089_,11.36µm
net85,11.26µm
net2,11.2µm
net51,11.16µm
_031_,10.88µm
_048_,10.78µm
net12,10.66µm
_138_,10.62µm
_045_,10.44µm
a[13],10.42µm
b[13],10.42µm
_074_,10.4µm
_101_,10.32µm
c[14],10.32µm
c[15],10.32µm
_085_,10.12µm
_015_,9.84µm
_047_,9.82µm
a[17],9.64µm
b[17],9.64µm
_080_,9.62µm
