Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_64_293,VGND,li1,141.6800,184.9600,0.000040
FILLER_0_64_281,VGND,li1,137.5400,184.9600,0.000040
FILLER_0_64_277,VGND,li1,133.6300,184.9600,0.000040
FILLER_0_64_265,VGND,li1,130.1800,184.9600,0.000040
FILLER_0_64_253,VGND,li1,124.6600,184.9600,0.000040
FILLER_0_64_249,VGND,li1,120.7500,184.9600,0.000040
FILLER_0_64_237,VGND,li1,117.3000,184.9600,0.000040
FILLER_0_64_225,VGND,li1,111.7800,184.9600,0.000040
FILLER_0_64_221,VGND,li1,107.8700,184.9600,0.000040
FILLER_0_64_209,VGND,li1,104.4200,184.9600,0.000040
FILLER_0_64_197,VGND,li1,98.9000,184.9600,0.000040
FILLER_0_64_194,VGND,li1,95.2200,184.9600,0.000040
FILLER_0_64_186,VGND,li1,92.9200,184.9600,0.000040
FILLER_0_64_174,VGND,li1,88.3200,184.9600,0.000040
FILLER_0_64_169,VGND,li1,83.7200,184.9600,0.000040
FILLER_0_64_167,VGND,li1,82.5700,184.9600,0.000040
FILLER_0_64_161,VGND,li1,80.2700,184.9600,0.000040
FILLER_0_64_149,VGND,li1,76.8200,184.9600,0.000040
FILLER_0_64_141,VGND,li1,70.8400,184.9600,0.000039
FILLER_0_64_133,VGND,li1,66.9300,184.9600,0.000038
FILLER_0_64_125,VGND,li1,64.8600,184.9600,0.000036
FILLER_0_64_113,VGND,li1,60.2600,184.9600,0.000033
FILLER_0_64_109,VGND,li1,56.3500,184.9600,0.000029
FILLER_0_64_97,VGND,li1,52.9000,184.9600,0.000028
FILLER_0_64_85,VGND,li1,47.3800,184.9600,0.000024
FILLER_0_64_81,VGND,li1,43.4700,184.9600,0.000021
FILLER_0_64_69,VGND,li1,40.0200,184.9600,0.000018
FILLER_0_64_57,VGND,li1,34.5000,184.9600,0.000015
FILLER_0_64_53,VGND,li1,30.5900,184.9600,0.000011
FILLER_0_64_41,VGND,li1,27.1400,184.9600,0.000009
FILLER_0_64_29,VGND,li1,21.6200,184.9600,0.000008
FILLER_0_64_27,VGND,li1,18.1700,184.9600,0.000008
FILLER_0_64_21,VGND,li1,16.5600,184.9600,0.000009
FILLER_0_64_9,VGND,li1,12.4200,184.9600,0.000009
FILLER_0_63_293,VGND,li1,141.6800,184.9600,0.000040
FILLER_0_63_281,VGND,li1,137.5400,184.9600,0.000040
FILLER_0_63_279,VGND,li1,134.0900,184.9600,0.000040
FILLER_0_63_273,VGND,li1,132.4800,184.9600,0.000040
FILLER_0_63_261,VGND,li1,128.3400,184.9600,0.000040
FILLER_0_63_249,VGND,li1,122.8200,184.9600,0.000040
FILLER_0_63_237,VGND,li1,117.3000,184.9600,0.000040
FILLER_0_63_225,VGND,li1,111.7800,184.9600,0.000040
FILLER_0_63_223,VGND,li1,108.3300,184.9600,0.000040
FILLER_0_63_217,VGND,li1,106.7200,184.9600,0.000040
FILLER_0_63_205,VGND,li1,102.5800,184.9600,0.000040
FILLER_0_63_193,VGND,li1,97.0600,184.9600,0.000040
FILLER_0_63_181,VGND,li1,91.5400,184.9600,0.000040
FILLER_0_63_169,VGND,li1,86.0200,184.9600,0.000040
FILLER_0_63_167,VGND,li1,82.5700,184.9600,0.000040
FILLER_0_63_161,VGND,li1,80.9600,184.9600,0.000040
FILLER_0_63_149,VGND,li1,76.8200,184.9600,0.000040
FILLER_0_63_137,VGND,li1,71.3000,184.9600,0.000039
FILLER_0_63_125,VGND,li1,65.7800,184.9600,0.000036
FILLER_0_63_113,VGND,li1,60.2600,184.9600,0.000033
FILLER_0_63_111,VGND,li1,56.8100,184.9600,0.000029
FILLER_0_63_105,VGND,li1,55.2000,184.9600,0.000029
FILLER_0_63_93,VGND,li1,51.0600,184.9600,0.000026
FILLER_0_63_81,VGND,li1,45.5400,184.9600,0.000022
FILLER_0_63_69,VGND,li1,40.0200,184.9600,0.000018
FILLER_0_63_57,VGND,li1,34.5000,184.9600,0.000015
FILLER_0_63_55,VGND,li1,31.0500,184.9600,0.000011
FILLER_0_63_51,VGND,li1,29.9000,184.9600,0.000011
FILLER_0_63_39,VGND,li1,26.2200,184.9600,0.000008
FILLER_0_63_27,VGND,li1,20.7000,184.9600,0.000008
FILLER_0_63_15,VGND,li1,15.1800,184.9600,0.000009
FILLER_0_63_3,VGND,li1,9.6600,184.9600,0.000009
FILLER_0_62_297,VGND,li1,142.6000,179.5200,0.000006
FILLER_0_62_289,VGND,li1,140.3000,179.5200,0.000006
FILLER_0_62_277,VGND,li1,135.7000,179.5200,0.000006
FILLER_0_62_265,VGND,li1,130.1800,179.5200,0.000006
FILLER_0_62_253,VGND,li1,124.6600,179.5200,0.000006
FILLER_0_62_251,VGND,li1,121.2100,179.5200,0.000006
FILLER_0_62_245,VGND,li1,119.6000,179.5200,0.000006
FILLER_0_62_233,VGND,li1,115.4600,179.5200,0.000006
FILLER_0_62_221,VGND,li1,109.9400,179.5200,0.000006
FILLER_0_62_209,VGND,li1,104.4200,179.5200,0.000006
FILLER_0_62_197,VGND,li1,98.9000,179.5200,0.000006
FILLER_0_62_195,VGND,li1,95.4500,179.5200,0.000006
FILLER_0_62_189,VGND,li1,93.8400,179.5200,0.000006
FILLER_0_62_177,VGND,li1,89.7000,179.5200,0.000006
FILLER_0_62_165,VGND,li1,84.1800,179.5200,0.000006
FILLER_0_62_153,VGND,li1,78.6600,179.5200,0.000006
FILLER_0_62_141,VGND,li1,73.1400,179.5200,0.000006
FILLER_0_62_139,VGND,li1,69.6900,179.5200,0.000006
FILLER_0_62_133,VGND,li1,68.0800,179.5200,0.000006
FILLER_0_62_121,VGND,li1,63.9400,179.5200,0.000006
FILLER_0_62_109,VGND,li1,58.4200,179.5200,0.000006
FILLER_0_62_97,VGND,li1,52.9000,179.5200,0.000005
FILLER_0_62_85,VGND,li1,47.3800,179.5200,0.000005
FILLER_0_62_83,VGND,li1,43.9300,179.5200,0.000004
FILLER_0_62_77,VGND,li1,42.3200,179.5200,0.000004
FILLER_0_62_65,VGND,li1,38.1800,179.5200,0.000004
FILLER_0_62_53,VGND,li1,32.6600,179.5200,0.000004
FILLER_0_62_41,VGND,li1,27.1400,179.5200,0.000003
FILLER_0_62_29,VGND,li1,21.6200,179.5200,0.000004
FILLER_0_62_27,VGND,li1,18.1700,179.5200,0.000005
FILLER_0_62_21,VGND,li1,16.5600,179.5200,0.000005
FILLER_0_62_14,VGND,li1,12.4200,179.5200,0.000006
FILLER_0_62_6,VGND,li1,10.1200,179.5200,0.000006
FILLER_0_61_293,VGND,li1,141.6800,179.5200,0.000006
FILLER_0_61_281,VGND,li1,137.5400,179.5200,0.000006
FILLER_0_61_279,VGND,li1,134.0900,179.5200,0.000006
FILLER_0_61_273,VGND,li1,132.4800,179.5200,0.000006
FILLER_0_61_261,VGND,li1,128.3400,179.5200,0.000006
FILLER_0_61_249,VGND,li1,122.8200,179.5200,0.000006
FILLER_0_61_237,VGND,li1,117.3000,179.5200,0.000006
FILLER_0_61_225,VGND,li1,111.7800,179.5200,0.000006
FILLER_0_61_223,VGND,li1,108.3300,179.5200,0.000006
FILLER_0_61_217,VGND,li1,106.7200,179.5200,0.000006
FILLER_0_61_205,VGND,li1,102.5800,179.5200,0.000006
FILLER_0_61_193,VGND,li1,97.0600,179.5200,0.000006
FILLER_0_61_181,VGND,li1,91.5400,179.5200,0.000006
FILLER_0_61_169,VGND,li1,86.0200,179.5200,0.000006
FILLER_0_61_166,VGND,li1,82.3400,179.5200,0.000006
FILLER_0_61_158,VGND,li1,80.0400,179.5200,0.000006
FILLER_0_61_146,VGND,li1,75.4400,179.5200,0.000006
FILLER_0_61_134,VGND,li1,69.9200,179.5200,0.000006
FILLER_0_61_122,VGND,li1,64.4000,179.5200,0.000006
FILLER_0_61_113,VGND,li1,57.9600,179.5200,0.000006
FILLER_0_61_111,VGND,li1,56.8100,179.5200,0.000005
FILLER_0_61_105,VGND,li1,55.2000,179.5200,0.000005
FILLER_0_61_93,VGND,li1,51.0600,179.5200,0.000005
FILLER_0_61_81,VGND,li1,45.5400,179.5200,0.000005
FILLER_0_61_69,VGND,li1,40.0200,179.5200,0.000004
FILLER_0_61_57,VGND,li1,34.5000,179.5200,0.000004
FILLER_0_61_55,VGND,li1,31.0500,179.5200,0.000003
FILLER_0_61_51,VGND,li1,29.9000,179.5200,0.000003
FILLER_0_61_39,VGND,li1,26.2200,179.5200,0.000003
FILLER_0_61_27,VGND,li1,20.7000,179.5200,0.000004
FILLER_0_61_6,VGND,li1,8.9700,179.5200,0.000006
FILLER_0_60_297,VGND,li1,142.6000,174.0800,0.000012
FILLER_0_60_289,VGND,li1,140.3000,174.0800,0.000012
FILLER_0_60_277,VGND,li1,135.7000,174.0800,0.000012
FILLER_0_60_265,VGND,li1,130.1800,174.0800,0.000012
FILLER_0_60_253,VGND,li1,124.6600,174.0800,0.000012
FILLER_0_60_251,VGND,li1,121.2100,174.0800,0.000012
FILLER_0_60_245,VGND,li1,119.6000,174.0800,0.000012
FILLER_0_60_233,VGND,li1,115.4600,174.0800,0.000012
FILLER_0_60_221,VGND,li1,109.9400,174.0800,0.000012
