Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_64_293,VPWR,li1,141.6800,187.6800,1.799957
FILLER_0_64_281,VPWR,li1,137.5400,187.6800,1.799957
FILLER_0_64_277,VPWR,li1,133.6300,187.6800,1.799957
FILLER_0_64_265,VPWR,li1,130.1800,187.6800,1.799957
FILLER_0_64_253,VPWR,li1,124.6600,187.6800,1.799957
FILLER_0_64_249,VPWR,li1,120.7500,187.6800,1.799957
FILLER_0_64_237,VPWR,li1,117.3000,187.6800,1.799957
FILLER_0_64_225,VPWR,li1,111.7800,187.6800,1.799957
FILLER_0_64_221,VPWR,li1,107.8700,187.6800,1.799957
FILLER_0_64_209,VPWR,li1,104.4200,187.6800,1.799957
FILLER_0_64_197,VPWR,li1,98.9000,187.6800,1.799957
FILLER_0_64_194,VPWR,li1,95.2200,187.6800,1.799957
FILLER_0_64_186,VPWR,li1,92.9200,187.6800,1.799957
FILLER_0_64_174,VPWR,li1,88.3200,187.6800,1.799957
FILLER_0_64_169,VPWR,li1,83.7200,187.6800,1.799957
FILLER_0_64_167,VPWR,li1,82.5700,187.6800,1.799957
FILLER_0_64_161,VPWR,li1,80.2700,187.6800,1.799957
FILLER_0_64_149,VPWR,li1,76.8200,187.6800,1.799957
FILLER_0_64_141,VPWR,li1,70.8400,187.6800,1.799959
FILLER_0_64_133,VPWR,li1,66.9300,187.6800,1.799960
FILLER_0_64_125,VPWR,li1,64.8600,187.6800,1.799961
FILLER_0_64_113,VPWR,li1,60.2600,187.6800,1.799965
FILLER_0_64_109,VPWR,li1,56.3500,187.6800,1.799967
FILLER_0_64_97,VPWR,li1,52.9000,187.6800,1.799970
FILLER_0_64_85,VPWR,li1,47.3800,187.6800,1.799974
FILLER_0_64_81,VPWR,li1,43.4700,187.6800,1.799977
FILLER_0_64_69,VPWR,li1,40.0200,187.6800,1.799979
FILLER_0_64_57,VPWR,li1,34.5000,187.6800,1.799983
FILLER_0_64_53,VPWR,li1,30.5900,187.6800,1.799986
FILLER_0_64_41,VPWR,li1,27.1400,187.6800,1.799988
FILLER_0_64_29,VPWR,li1,21.6200,187.6800,1.799992
FILLER_0_64_27,VPWR,li1,18.1700,187.6800,1.799992
FILLER_0_64_21,VPWR,li1,16.5600,187.6800,1.799992
FILLER_0_64_9,VPWR,li1,12.4200,187.6800,1.799991
FILLER_0_63_293,VPWR,li1,141.6800,182.2400,1.799999
FILLER_0_63_281,VPWR,li1,137.5400,182.2400,1.799999
FILLER_0_63_279,VPWR,li1,134.0900,182.2400,1.799999
FILLER_0_63_273,VPWR,li1,132.4800,182.2400,1.799999
FILLER_0_63_261,VPWR,li1,128.3400,182.2400,1.799999
FILLER_0_63_249,VPWR,li1,122.8200,182.2400,1.799999
FILLER_0_63_237,VPWR,li1,117.3000,182.2400,1.799999
FILLER_0_63_225,VPWR,li1,111.7800,182.2400,1.799999
FILLER_0_63_223,VPWR,li1,108.3300,182.2400,1.799999
FILLER_0_63_217,VPWR,li1,106.7200,182.2400,1.799999
FILLER_0_63_205,VPWR,li1,102.5800,182.2400,1.799999
FILLER_0_63_193,VPWR,li1,97.0600,182.2400,1.799999
FILLER_0_63_181,VPWR,li1,91.5400,182.2400,1.799999
FILLER_0_63_169,VPWR,li1,86.0200,182.2400,1.799999
FILLER_0_63_167,VPWR,li1,82.5700,182.2400,1.799999
FILLER_0_63_161,VPWR,li1,80.9600,182.2400,1.799999
FILLER_0_63_149,VPWR,li1,76.8200,182.2400,1.799999
FILLER_0_63_137,VPWR,li1,71.3000,182.2400,1.799999
FILLER_0_63_125,VPWR,li1,65.7800,182.2400,1.799999
FILLER_0_63_113,VPWR,li1,60.2600,182.2400,1.799999
FILLER_0_63_111,VPWR,li1,56.8100,182.2400,1.799999
FILLER_0_63_105,VPWR,li1,55.2000,182.2400,1.799999
FILLER_0_63_93,VPWR,li1,51.0600,182.2400,1.799999
FILLER_0_63_81,VPWR,li1,45.5400,182.2400,1.799999
FILLER_0_63_69,VPWR,li1,40.0200,182.2400,1.799999
FILLER_0_63_57,VPWR,li1,34.5000,182.2400,1.799999
FILLER_0_63_55,VPWR,li1,31.0500,182.2400,1.799999
FILLER_0_63_51,VPWR,li1,29.9000,182.2400,1.799999
FILLER_0_63_39,VPWR,li1,26.2200,182.2400,1.799999
FILLER_0_63_27,VPWR,li1,20.7000,182.2400,1.799999
FILLER_0_63_15,VPWR,li1,15.1800,182.2400,1.799999
FILLER_0_63_3,VPWR,li1,9.6600,182.2400,1.799998
FILLER_0_62_297,VPWR,li1,142.6000,182.2400,1.799999
FILLER_0_62_289,VPWR,li1,140.3000,182.2400,1.799999
FILLER_0_62_277,VPWR,li1,135.7000,182.2400,1.799999
FILLER_0_62_265,VPWR,li1,130.1800,182.2400,1.799999
FILLER_0_62_253,VPWR,li1,124.6600,182.2400,1.799999
FILLER_0_62_251,VPWR,li1,121.2100,182.2400,1.799999
FILLER_0_62_245,VPWR,li1,119.6000,182.2400,1.799999
FILLER_0_62_233,VPWR,li1,115.4600,182.2400,1.799999
FILLER_0_62_221,VPWR,li1,109.9400,182.2400,1.799999
FILLER_0_62_209,VPWR,li1,104.4200,182.2400,1.799999
FILLER_0_62_197,VPWR,li1,98.9000,182.2400,1.799999
FILLER_0_62_195,VPWR,li1,95.4500,182.2400,1.799999
FILLER_0_62_189,VPWR,li1,93.8400,182.2400,1.799999
FILLER_0_62_177,VPWR,li1,89.7000,182.2400,1.799999
FILLER_0_62_165,VPWR,li1,84.1800,182.2400,1.799999
FILLER_0_62_153,VPWR,li1,78.6600,182.2400,1.799999
FILLER_0_62_141,VPWR,li1,73.1400,182.2400,1.799999
FILLER_0_62_139,VPWR,li1,69.6900,182.2400,1.799999
FILLER_0_62_133,VPWR,li1,68.0800,182.2400,1.799999
FILLER_0_62_121,VPWR,li1,63.9400,182.2400,1.799999
